RunID,Nsamples,Zloc_inches,Vnominal_mps,dt_us,Date,Vfree_mps,VfreeSigma_mps,Q_Pa,Patm_Pa,Ttunnel_C,wetbulb_K,drybulb_K
1,200,21.500,15.0,50,31-May,15.22,0.02,135,102036,299.85,293.65,299.15
2,200,21.500,17.0,50,31-May,16.88,0.02,170,102115,297.55,293.65,298.15
3,200,21.500,19.0,50,31-May,19.43,0.01,225,102105,297.55,293.65,298.15
4,43,21.500,21.0,50,31-May,21.06,0.02,264,102100,297.75,293.65,298.65
5,200,21.500,23.0,35,31-May,23.21,0.04,321,102097,297.95,293.65,298.65
6,200,21.500,25.0,35,31-May,24.86,0.05,371,102093,298.15,293.65,298.65
7,200,21.500,27.0,35,31-May,27.02,0.03,434,102092,298.30,293.65,298.65
8,200,21.500,29.0,25,31-May,29.12,0.04,505,102080,298.35,293.65,298.65
9,200,21.500,31.0,25,31-May,30.86,0.06,564,102050,299.15,293.65,298.65
10,195,21.500,33.0,25,31-May,32.98,0.05,641,102054,299.90,293.65,299.15
11,200,27.875,15.0,40,3-Jun,15.27,0.02,138,101185,296.05,294.15,298.15
12,200,27.875,17.0,40,3-Jun,16.89,0.02,169,101218,296.55,294.15,298.15
13,200,27.875,19.0,40,3-Jun,19.03,0.02,215,101219,296.55,294.15,298.15
14,200,27.875,21.0,40,3-Jun,21.13,0.02,264,101186,296.85,293.65,298.15
15,200,27.875,23.0,40,3-Jun,23.21,0.04,321,101150,297.85,293.65,298.15
16,200,27.875,25.0,25,3-Jun,25.36,0.04,380,101120,297.45,294.65,298.40
17,200,27.875,27.0,25,3-Jun,27.03,0.03,432,101120,297.75,294.65,298.65
18,200,27.875,29.0,25,3-Jun,29.12,0.06,498,101106,298.55,294.65,298.15
19,200,27.875,31.0,25,3-Jun,30.87,0.04,562,101109,298.95,294.65,298.15
20,200,27.875,33.0,25,3-Jun,33.39,0.04,653,101101,299.65,294.65,298.15
21,200,31,15.0,40,3-Jun,15.2,0.02,136,101094,297.95,295.15,298.90
22,200,31,17.0,40,3-Jun,17.27,0.02,176,101100,297.85,295.15,298.90
23,200,31,19.0,40,3-Jun,19.36,0.03,222,101102,297.95,294.65,298.65
24,200,31,21.0,40,3-Jun,21.09,0.03,262,101088,297.95,295.15,298.40
25,200,31,23.0,40,3-Jun,23.15,0.02,316,101079,298.05,295.15,298.40
26,200,31,25.0,25,3-Jun,24.86,0.02,364,101062,298.45,294.90,298.65
27,200,31,27.0,25,3-Jun,26.95,0.04,430,101054,298.65,294.65,298.65
28,200,31,29.0,25,3-Jun,29.09,0.04,496,101051,299.05,294.90,298.65
29,200,31,31.0,25,3-Jun,31.26,0.04,576,101056,299.35,294.90,298.65
30,200,31,33.0,25,3-Jun,32.94,0.04,636,101024,299.75,295.15,298.15
31,200,34,15.0,40,4-Jun,14.86,0.02,133,101865,295.75,292.40,297.15
32,200,34,17.0,40,4-Jun,17.39,0.02,180,101855,295.95,292.40,297.15
33,200,34,19.0,40,4-Jun,19.08,0.02,219,101847,296.10,292.40,297.15
34,200,34,21.0,40,4-Jun,21.13,0.05,267,101845,296.15,292.40,297.15
35,200,34,23.0,40,4-Jun,23.29,0.02,323,101844,296.45,292.40,297.15
36,200,34,25.0,25,4-Jun,24.98,0.05,373,101840,296.65,292.65,297.15
37,200,34,27.0,25,4-Jun,27.09,0.05,438,101843,297.00,292.65,297.15
38,200,34,29.0,25,4-Jun,28.81,0.03,493,101848,297.55,292.65,297.15
39,0,34,31.0,25,4-Jun,30.87,0.04,570,101842,298.15,292.65,297.65
40,0,34,33.0,25,4-Jun,33.44,0.06,661,101844,298.35,292.65,297.65
41,200,36,15.0,40,4-Jun,14.88,0.02,132,101815,296.25,291.90,297.65
42,200,36,17.0,40,4-Jun,17.24,0.03,180,101812,296.35,291.65,297.65
43,200,36,19.0,40,4-Jun,19.08,0.03,217,101812,294.45,291.65,297.65
44,200,36,21.0,40,4-Jun,21.18,0.03,267,101816,296.65,291.65,297.65
45,200,36,23.0,40,4-Jun,23.24,0.03,323,101809,296.95,291.65,297.65
46,200,36,25.0,25,4-Jun,24.9,0.03,371,101802,297.15,291.65,297.65
47,200,36,27.0,25,4-Jun,27.08,0.04,435,101788,297.45,291.65,297.65
48,200,36,29.0,25,4-Jun,29.19,0.03,506,101784,297.85,291.65,297.65
49,200,36,31.0,25,4-Jun,31.28,0.05,584,101786,298.15,291.90,297.90
50,200,36,33.0,25,4-Jun,33.05,0.05,645,101789,298.75,291.90,297.90
51,200,38,15.0,40,5-Jun,15.31,0.02,140,102039,294.85,291.15,296.15
52,200,38,17.0,40,5-Jun,17.36,0.03,182,102034,294.95,291.15,296.15
53,200,38,19.0,40,5-Jun,19.08,0.03,219,102035,295.15,290.90,296.15
54,200,38,21.0,40,5-Jun,21.23,0.03,270,102037,295.35,290.90,296.15
55,200,38,23.0,40,5-Jun,23.33,0.03,327,102018,295.65,290.90,296.15
56,200,38,25.0,25,5-Jun,24.97,0.03,375,102021,295.95,290.90,296.15
57,200,38,27.0,25,5-Jun,27.05,0.06,437,102008,297.85,291.15,297.65
