Run,$I_Z$,$V_{nom}$,$dt$,$V_{free}$,$Q$,$P_{atm}$,$T_{tunnel}$,$\phi$,$R_{core}$,$\overline{v_{\theta}}_{max}$,$\overline{v_{z}}_{mean}$
,$mm$,$m/s$,$\mu s$,$m/s$,$Pa$,$Pa$,K,$\%$,$mm$,$m/s$,$m/s$
,,,,,,,,,,,
11,708,15.0,40,15.3,138,101185,296.1,69.8,20.0,2.9,15.4
12,708,17.0,40,16.9,169,101218,296.6,69.8,19.4,3.6,17.1
13,708,19.0,40,19.0,215,101219,296.6,69.8,18.7,3.7,19.3
14,708,21.0,40,21.1,264,101186,296.9,66.4,19.0,4.0,21.3
15,708,23.0,40,23.2,321,101150,297.9,66.4,19.7,2.4,14.5
16,708,25.0,25,25.4,380,101120,297.4,71.8,19.5,5.1,25.7
17,708,27.0,25,27.0,432,101120,297.8,70.2,18.3,5.2,27.3
18,708,29.0,25,29.1,498,101106,298.6,73.4,19.0,5.6,29.5
19,708,31.0,25,30.9,562,101109,298.9,73.4,18.6,5.4,31.3
20,708,33.0,25,33.4,653,101101,299.6,73.4,19.4,6.2,33.7
