Run,$I_Z$,$V_{nom}$,$dt$,$V_{free}$,$P_{atm}$,$T_{tunnel}$,$\phi$,$\eta_P$,$R_{core}$,$\overline{v_{\theta}}_{max}$,$\overline{v_{\bar{z}}}$
,$mm$,$m/s$,$\mu s$,$m/s$,$KPa$,K,$\%$,$\mu s$,$mm$,$m/s$,$m/s$
,,,,,,,,,,,
41,914,15,40,14.9,101.8,296.2,57.5,0.39,13.3,3.7,15.2
42,914,17,40,17.2,101.8,296.4,55.8,0.40,15.8,4.3,17.3
43,914,19,40,19.1,101.8,294.4,55.8,0.40,13.6,4.6,19.4
44,914,21,40,21.2,101.8,296.6,55.8,0.40,16.4,5.1,21.6
45,914,23,40,23.2,101.8,296.9,55.8,0.40,14.7,5.7,23.7
46,914,25,25,24.9,101.8,297.1,55.8,0.40,15.0,6.2,25.4
47,914,27,25,27.1,101.8,297.4,55.8,0.40,14.9,6.9,27.5
48,914,29,25,29.2,101.8,297.9,55.8,0.40,13.4,7.3,29.7
49,914,31,25,31.3,101.8,298.1,56.1,0.39,13.7,7.5,31.8
50,914,33,25,33.0,101.8,298.8,56.1,0.39,16.2,7.8,33.5
