Run,$I_Z$,$V_nom$,$dt$,$V_{fs}$,$Q$,$P_{atm}$,$T_{tunnel}$,$\phi$,$R_{core}$,$\overline{t}_{max}$,$\overline{w}_{core}$
1,21.5,15.0,50,15.22,135,102036,299.85,60.4265239773,19.0395645162,2.80505425711,12.212677686
2,21.5,17.0,50,16.88,170,102115,297.55,66.2971934052,18.143856852,3.13175674941,13.1219266667
3,21.5,19.0,50,19.43,225,102105,297.55,66.2981531797,20.6696995127,3.55965339671,15.3738830769
4,21.5,21.0,50,21.06,264,102100,297.75,63.296138771,21.6295091903,3.62305577877,17.008804
5,21.5,23.0,35,23.21,321,102097,297.95,63.2964493071,18.5892866522,4.2218825009,18.3230625
6,21.5,25.0,35,24.86,371,102093,298.15,63.2968633553,18.8591043947,4.44161755262,19.4256542373
7,21.5,27.0,35,27.02,434,102092,298.3,63.2969668673,45.8103351787,2.85617642878,25.8638773333
8,21.5,29.0,25,29.12,505,102080,298.35,63.2982090118,19.7282921086,5.03677807971,23.5653171053
9,21.5,31.0,25,30.86,564,102050,299.15,63.301314373,18.7865688353,5.38139149507,24.6769589744
10,21.5,33.0,25,32.98,641,102054,299.9,60.4245343659,19.6096378292,5.77665761496,26.2617393939
11,27.875,15.0,40,15.27,138,101185,296.05,69.8416375324,22.1947943691,2.82972871652,12.704975
12,27.875,17.0,40,16.89,169,101218,296.55,69.8388206126,21.5925542268,3.3592051866,13.5816172043
13,27.875,19.0,40,19.03,215,101219,296.55,69.8387352514,18.2746265578,3.59996731248,15.1779192308
14,27.875,21.0,40,21.13,264,101186,296.85,66.3863564489,20.730684673,3.91710255647,17.3341129032
15,27.875,23.0,40,23.21,321,101150,297.85,66.3898116368,24.4638714654,2.25787543686,12.2271538776
16,27.875,25.0,25,25.36,380,101120,297.45,71.7506154572,24.1508058974,4.6125738405,20.7803875
17,27.875,27.0,25,27.03,432,101120,297.75,70.1669936936,21.6695250503,5.2184886664,22.0210633333
18,27.875,29.0,25,29.12,498,101106,298.55,73.3690270593,19.1365261388,5.48581160627,23.281676087
19,27.875,31.0,25,30.87,562,101109,298.95,73.3688028604,18.816235181,5.68836259891,24.9951066667
20,27.875,33.0,25,33.39,653,101101,299.65,73.3694007243,21.9011346681,5.99027757397,27.7940430769
21,31.0,15.0,40,15.2,136,101094,297.95,72.0494552363,18.4913293877,2.98169544646,12.450629771
22,31.0,17.0,40,17.27,176,101100,297.85,72.0489955254,17.9311829736,3.32539747254,13.8276706667
23,31.0,19.0,40,19.36,222,101102,297.95,70.1684859416,16.9049324988,3.64386830843,16.1505920455
24,31.0,21.0,40,21.09,262,101088,297.95,75.2880088924,18.838369336,3.90800004324,17.5053731707
25,31.0,23.0,40,23.15,316,101079,298.05,75.2886245509,19.1669863864,4.14506765367,18.965290625
26,31.0,25.0,25,24.86,364,101062,298.45,71.9045330973,18.5502688671,4.74524846382,20.1693106667
