Station,$dt$,$u_{sim}$,$v_{sim}$,$w_{sim}$,$\bar{u}$,$\beta_u$,$P_{u^{\prime}}$,$P_{\bar{u}}$,$U_{u^{\prime}}$,$U_{\bar{u}}$
1,25,6.15,6.15,29.0,5.592,-0.558,2.805,0.198,2.860,0.592
1,40,5.6,5.6,19.0,5.008,-0.592,2.005,0.142,2.091,0.609
2,25,6.15,6.15,29.0,5.802,-0.348,1.363,0.096,1.407,0.361
2,40,5.6,5.6,19.0,5.783,0.183,1.333,0.094,1.346,0.206
3,25,6.15,6.15,29.0,7.500,1.350,1.692,0.120,2.164,1.355
3,40,5.6,5.6,19.0,5.914,0.314,0.786,0.056,0.847,0.319
4,25,6.15,6.15,29.0,6.393,0.243,2.787,0.197,2.798,0.313
4,40,5.6,5.6,19.0,5.719,0.119,1.135,0.080,1.142,0.144
5,25,6.15,6.15,29.0,5.635,-0.515,1.735,0.123,1.810,0.529
5,40,5.6,5.6,19.0,5.515,-0.085,1.241,0.088,1.244,0.122
6,25,6.15,6.15,29.0,5.403,-0.747,1.114,0.079,1.341,0.752
6,40,5.6,5.6,19.0,5.468,-0.132,0.988,0.070,0.997,0.149
7,25,6.15,6.15,29.0,6.223,0.073,1.784,0.126,1.785,0.146
7,40,5.6,5.6,19.0,5.839,0.239,0.765,0.054,0.801,0.245
